country,description,designation,points,price,province,region_1,region_2,variety,winery
France,"A lovely lemony lift jumps from the glass and immediately signals maturing Riesling. The palate is still taut with freshness but has the harmonious balminess of bottle age. Hints of dried pear and candied lemon peel appear. The palate is as precise and taut as ever, brightened by utter apple and citrus crispness. The finish is long, dry and utterly clean cut.",Schlossberg Grand Cru,93,36.0,Alsace,Alsace,,Riesling,Paul Blanck
US,"Drying out and sharp, with jagged tannins and cherry-blackberry flavors that have a raisiny edge. Drink now.",Crescendo,83,13.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Norman
Italy,"A crowd-pleaser that starts in fifth gear with generous smoky, cedar-like notes, vanilla, cherry, dill and white mushroom. Equally complex and creamy in the mouth with a lush, berry-filled finish. Imported by Vias Imports.",,92,61.0,Tuscany,Brunello di Montalcino,,Sangiovese,Argiano
US,"A heavy, acidic and boring wine, not offering much in the way of flavor except for some bitter cherries.",Silvaspoons Vineyards,80,23.0,California,Lodi,Central Valley,Touriga Nacional,Fenestra
France,"91-93 Barrel sample. Rich, balanced wine that offers a big, opulent character, the fruit full of black berry juice, a layer of dried figs and final chunky tannins.",Barrel sample,92,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Bouscaut
US,"A stunning Syrah, with a bit of Petite Sirah that seems to provide darkness, tannins and structure. Marked with black pepper aromas, it's extraordinarily rich in blackberry, blueberry and mocha flavors, with a mushroomy earthiness and sweet smoky oak influences. Full-bodied and dense now, it wants at least 3–5 years to come around.",Ballard Canyon Estate,93,36.0,California,Santa Barbara County,Central Coast,Syrah,Rusack
US,"A very interesting Chardonnay, and easily worth the price. It was fermented in 50% new French oak, which gives it a creamy, smoky richness, while the underlying fruit flavors are ripe and rewarding, suggesting pineapples, Asian pears, green apples and Meyer lemons. A beautiful, complex and balanced wine.",Director's Cut,91,20.0,California,Russian River Valley,Sonoma,Chardonnay,Francis Ford Coppola
Italy,"This Brut Satèn offers a creamy mouthfeel accented by cheerful tones of yellow fruit, almond and dried apricot. There is crispness here and the tonic bubbles help keep the palate clean for your next sip.",Brut Satèn,90,39.0,Lombardy,Franciacorta,,Chardonnay,Contadi Castaldi
France,"It may be a big wine, packed with ripe Chardonnay flavors, but it doesn't lose sight of its chalk soil origins, giving a firm, mineral, steely edge to the full-flavored peach and mango fruits. It is already in balance, but there is still a raw edge. Age for 2–3 years. Imported by Frederick Wildman & Sons, Ltd.",Tête de Cru,89,40.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Château de Fuissé
US,"A sound, rather generic red wine, medium- to full-bodied, with sleek tannins framing jammy cherry and raspberry flavors. Pretty good for the price, and easy to find, with 42,000 cases produced.",,84,10.0,California,California,California Other,Merlot,McManis
France,"It's impressive what a small addition of Sauvignon Gris and Muscadelle can do to a Sauvignon-Sémillon blend—it turns this into an exotic wine, with spice and lychee flavors.",L'Abbaye,87,22.0,Southwest France,Bergerac Sec,,Bordeaux-style White Blend,Domaine l'Ancienne Cure
Italy,"This Dolcetto offers a correct nose with fresh layers of cherry, blueberry and wild berries. There isn't huge intensity here but the wine does offer a full, soft mouthfeel with some mild tannins on the close.",Primaio,86,14.0,Piedmont,Dolcetto d'Alba,,Dolcetto,Cantine San Silvestro
Portugal,"A dark, firmly textured wine, its fruit wrapped in dark tannins. There is a strong perfumed character and the spicy damson juice is ripe. A wine with power, density and also acidity.",Vila Santa,88,20.0,Alentejano,,,Syrah,J. Portugal Ramos
Italy,"Made in a fuller style than is customary with Prosecco, with granular aromas of baked apple and peaches. The palate sports white peach and apple flavors, and the feel is one of roundness. Some may find this wine too amped up or thick, but we like its power, especially on the finish, where scallion and pepper enter the mix.",Cuvée Tenuta Val de Brun Extra Dry,88,18.0,Veneto,Prosecco di Valdobbiadene,,Prosecco,Astoria
France,"This blend of Grenache Blanc, Grenache Gris, Roussanne and Maca­beau is a tad closed and shy now, but should develop more intensity with time. Peach skin, white melon and orange notes are present on the nose and mouth, and are dusted with a lovely sweet-spice accent on the finish, but the mouthfeel comes across as slightly flabby.",Carrément Blanc,86,43.0,Languedoc-Roussillon,Côtes du Roussillon,,Rhône-style White Blend,Domaine de l'Edre
France,"Smooth and supple, this gem has a fully integrated nose that mixes toast, roasted hazelnuts and sweet meringue. The flavors are balanced and concentrated in the back palate and continue to expand beautifully right on through a fine, seamless finish. Elegant and graceful, this is picture perfect for near-term drinking.",Brut,93,59.0,Champagne,Champagne,,Chardonnay,Pol Roger
US,"Nicely perfumed with a musky/grapey scent, this low alcohol (10.4%) sweet Riesling is pleasant and clean, but a bit attenuated. It has plenty of sugary honey and some simple canned peach fruit, but stops there.",Cellarmaster's,85,12.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Columbia Winery
US,"Great price for a Chardonnay of this quality. The grapes come from cool coastal areas, and the wine brims with crisp, long hangtime ripeness, accented with toasty oak. Feels rich and creamy, with pineapple, tropical fruit and vanilla flavors.",,88,12.0,California,California,California Other,Chardonnay,Ménage a Trois
US,"The addition of 5% Grenache and 4% Viognier—roughly the same as last year's excellent wine—enhances this fruity, forward, well-built Syrah. It's a light, open and attractive style; fragrant, varietal and effusively fruity. Don't look for power or mass here; it's all up front. This is quite delicious.",,88,20.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Waterbrook
US,"With Pinot Noir, texture is everything, and this lovely wine is pure silk and satin. That makes it drinkable now, with its pretty flavors of raspberries, cherries, cola, cinnamon butter and sandalwood. But it's also tannicly tough, with a sandpapery scour. Seems like it should mellow over the next 3–4 years, although not much beyond that.",Kanzler Vineyard,92,65.0,California,Sonoma Coast,Sonoma,Pinot Noir,Landmark
Australia,"On the light side, with herbal, tea-like notes accenting tart cherry fruit.",White Label,82,14.0,Western Australia,Western Australia,,Shiraz,Alkoomi
US,"Lots of tropical fruit, pear, peach, green apple, vanilla, honey and creamy flavors in this Chardonnay. Also lots of zesty acidity, which brightens the flavors and makes the wine finish clean. Drink it now.",,87,17.0,California,Sonoma County,Sonoma,Chardonnay,Shiloh Road
Argentina,"Young and sturdy, with pear and apple aromas enveloped in popcorn and wood. The palate offers standard New World weight and sweetness along with flavors of pear, vanilla and oak. More on the full-bodied, oaky side, but generally it's balanced and approachable.",Reserva,85,9.0,Mendoza Province,Mendoza,,Chardonnay,Nieto Senetiner
Germany,"At $12 for a single-vineyard kabinett, this is an excellent value, delivering exotic honey, apricot and spice notes. The texture is creamy and silky; the finish is lush and soft. Drink it over the next few years.",Erdener Treppchen Kabinett,89,12.0,Mosel-Saar-Ruwer,,,Riesling,Gräflich von Hohenthal'Scher
Italy,This Fiano-based wine offers the generous pear and peach aromas often associated with this native grape from Campania plus its trademark structure and caressing consistency (it is oak aged for six months). But what sets it apart is the elegant manner in which these elements are brought together.,Campanaro,90,42.0,Southern Italy,Fiano di Avellino,,Fiano,Feudi di San Gregorio
France,"A big ripe wine, full of tropical fruits that are balanced by grapefruit and final acidity. There is just a hint of toast, very discreet, rounding out this beautifully structured wine. The finish offers a great range of complex flavors.",,90,,Burgundy,Puligny-Montrachet,,Chardonnay,Pierre André
US,"There's a bit of a vegetal element to this dry, crisp wine that gives a slight asparagus undertow to the citrus and flower flavors.",,83,9.0,California,California,California Other,Pinot Grigio,Redtree
US,"Charred wood is undeniably abundant, yet surprisingly integrated on the nose and palate of this Monticello Cab Franc amidst layers of spicy mocha chocolate and ripe black fruit. Richly extracted, yet elegant and clean in profile.",,87,23.0,Virginia,Monticello,,Cabernet Franc,Keswick Vineyards
US,"Lighter than Malibu Oak's Cabernet Sauvignon, this Cab Franc shows the variety's characteristic herby notes and is otherwise easy and light, with enough depth to pair well with a range of meats.",,86,27.0,California,South Coast,,Cabernet Franc,Malibu Rocky Oaks
US,"A pretty good everyday Merlot, made from all-coastal grapes, not from the Central Valley. The cherry, blackberry and plum flavors are nice, the tannins are smooth, the wine is totally dry. The one negative is a sharp, minty green streak.",Vintner's Reserve,84,19.0,California,California,California Other,Merlot,Kendall-Jackson
Greece,"Sweet cedar and cinnamon aromas and flavors of tart red cherry, vanilla and savory spice give this wine extra kick. It's still soft and integrated though—a dry and spicy but gentle red that has class.",Megapanos,86,28.0,Nemea,,,Agiorgitiko,Alexandros Megapanos
New Zealand,"Yields were down in 2015, but intensity is up, giving this medium-bodied, silky wine the potential to drink well through at least 2025. Hickory smoke outlines white peach before ending in a long flurry of lime zest.",Maté's Vineyard,94,57.0,Kumeu,,,Chardonnay,Kumeu River
Chile,"Dark fruit aromas carry the bouquet, which is compact and clean even if it loses potency with airing. Shows good texture and acidity to support herbal, traditional flavors of blackberry, plum and fig. Dry, lightly herbal and likable on the finish.",Reserva,87,11.0,Colchagua Valley,,,Carmenère,Apaltagua
Italy,This serious example opens with an enticing mixture of cassis interwoven with forest floor and mulch notes that lead to a palate with diffuse mineral tones. Bright in the mouth but a bit thin in the midpalate and turning slightly sharp on the finish. Drink now to two years.,Bricco delle Lepri,87,20.0,Piedmont,Dolcetto di Dogliani,,Dolcetto,San Romano
Australia,Toned-down aromas of blackberry and mocha lead to a palate with a firm structure of well-defined acidity and gripping tannins. The medium finish winds down to a note of mulling spices. Likely to improve with a year or two in the cellar.,Phoenix,88,20.0,South Australia,Coonawarra,,Cabernet Sauvignon,Penley Estate
Argentina,"A really good and clean white wine with all the tropicality and zest that this Argentine variety can give. The nose is crystalline and pure, with white flower scents of jasmine and citrus blossom, while the palate is round, melony and full of lychee and papaya. Smooth on the finish. Drink soon.",,90,12.0,Other,La Rioja,,Torrontés,Don Manuel Villafañe
France,"A delicious and richly creamy wine, full-bodied, with green plum and pink grapefruit flavors. There's freshness, but also power. Still young, just bottled, this wine will develop over 4–5 years. Les Pentes, slopes, refers to the slope of the vineyard.",Les Pentes,90,23.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Serge Dagueneau et Filles
US,"This is made in a lighter style for drinking now. It has a translucent ruby color, and the palate feels dry and silky, with citrusy acids brightening the sour red-cherry candy, persimmon and spice flavors.",Reserve,87,27.0,California,Russian River Valley,Sonoma,Pinot Noir,Frei Brothers
France,"Intensely mineral, this is the finest of Jo Pithon's range of single-vineyard dry Anjou wines. It is packed with powerful green fruits lending acidity; there is a touch of wood, but this is more about fruit. To finish, there is ripe, but very dry, structure.",Les Bergères,92,27.0,Loire Valley,Anjou,,Chenin Blanc,Domaine Jo Pithon
France,"A delicious wine that's now approaching maturity, but it still promises to age for several years. Its crisp flavors of green and white fruits are merging into notes of toast, yeast and herb. It shows a mineral texture and tense acidity.",Altenberg de Bergheim Grand Cru Vieilles Vignes,91,50.0,Alsace,Alsace,,Riesling,Gustave Lorentz
Spain,"Peachy aromas are less than perky, while in the mouth this is lemony, narrow and citric. Flavors of lemon and tangerine finish with stony mineral notes but also a drawing citric acidity.",Baladiña,86,16.0,Galicia,Rías Baixas,,Albariño,Lagar de Besada
France,"The normally flamboyant Gewürztraminer grape makes an understated appearance in this wine. The subdued nose is reminiscent of beer nuts while lychee and rose flavors dominate the slightly watery palate. It finishes dry, with an acidic lift. Try with Vietnamese takeout.",,81,18.0,Alsace,Alsace,,Gewürztraminer,The Furst...
US,"The 2009 vintage was successful for Sausal's three new Zinfandels, and this intense, concentrated bottling shows how the cool weather managed to ripen the grapes, yet keep alcohol levels moderate. It's a big, powerful wine, packed with wild berry, cola, licorice, spice and sandalwood flavors that have a tang of the earth.",Century Vines,92,40.0,California,Alexander Valley,Sonoma,Zinfandel,Sausal
Germany,"Steel and stones are brightened by tones of lemon and grapefruit in this dry-style wine. It's medium bodied but texturally quite rich, lending a satisfying sensation of volume that adds impact to the finish.",Trocken,90,20.0,Rheingau,,,Riesling,Robert Weil
US,"Pungently earthy in red strawberry and cherry, this is a seductively textured wine from a fine vineyard, made in tiny amounts. Fresh-cut roses and black tea provide a savory element, balancing exuberant fruit and complex notes of cola.",Landy Vineyard,92,52.0,California,Russian River Valley,Sonoma,Pinot Noir,Fulcrum
France,"Fragrant and fruity, this is an attractive, full rosé. It has just the right amount of red currant acidity to go with the ripe strawberry note. Ready to drink.",Bourricot Rosé,86,10.0,France Other,Vin de France,,Rosé,L. Tramier & Fils
US,"Very ripe, in fact, shows signs of overripeness in the raisiny notes accompanying the plums and coffee. The mouthfeel is heavy and Syrah-like, but with a silky texture. Good wine but needs more delicacy and breed.",Andreen-Gale Cuvee,87,49.0,California,Sonoma Coast,Sonoma,Pinot Noir,Flowers
Spain,"Rooty aromas come with a caustic side, something akin to Pine Sol or ammonia. Feels narrow and restricted, with limited berry flavors, juniper and other weird elements. An intense wine, but not in the right way.",,82,20.0,Northern Spain,Rioja,,Graciano,Viña Ijalba
New Zealand,"With more than 20g/L residual sugar, you might expect this wine to be rather sweet, but because of its high acidity it only registers as off dry. Lime and grapefruit flavors are flecked with green apple and petrol, finishing soft but with a citrusy edge. Drink now.",Cellar Selection,87,19.0,Marlborough,,,Riesling,Villa Maria
France,92–94 Freshness and lightness are the hallmarks of this ripe but very poised wine. Blackberry fruit flavors shine through the underlying tannins.,Barrel Sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Domaine de Chevalier
Italy,"There's a meaty, ripe aspect to the aromas here that recall black cherry and smoked ham. But there's also an edgy green tone that lends a slightly bitter impression in the mouth.",,87,,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Canneta
Italy,"This is an offbeat Moscato-based wine with aromas of peppermint and peach syrup that somehow work in unity. The wine offers soft, creamy fizz and a touch of delicate sweetness.",Seven Daughters,82,15.0,Veneto,Veneto,,Moscato,Cantine dei Colli Tramonte
US,"Imagine a Sauvignon Blanc with the weight of Chardonnay, and that's what you get with this single-vineyard wine. It's amazing, because the wine never saw oak. Still, it has a vanilla richness on top of pineapple, peach, anise and honeysuckle flavors. Maybe the correct comparison is of a white Cabernet Sauvignon, with the complexity that implies. What a great value.",Dutton Ranch Kylie's Cuvée,93,17.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Dutton Estate
US,"This is a very big, full-bodied Pinot Noir that's not particularly delicate or elegant in youth. It could almost be a Grenache, it's so dense, with cherry, cola, anise, pepper and oak flavors. Yet it's bone dry, and has everything it needs for the cellar. Give it until 2012.",Rincon Vineyard Estate Bottled,88,58.0,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
France,"While wood aromas are prominent now, this ultimately showcase the ripe red fruits that lie underneath. It has a solid core of tannins, which is balanced by the juicy fruit. Age for 6–7 years.",Domaine des Perdrix Les 8 Ouvrées Aux Perdrix Premier Cru,92,120.0,Burgundy,Nuits-St.-Georges,,Pinot Noir,Domaines Devillard
Italy,"Definitely on the ripe side, this aged Cabernet offers aromas of green pepper, chocolate, vanilla bean and black cherry. It delivers a pretty, modern approach and a nice, gritty texture in the mouth.",Campora,86,75.0,Tuscany,Toscana,,Cabernet Sauvignon,Falchini
Spain,"Quite candied and jumpy on the nose, what some might call bug juice. Having spent six months in American oak, it's tight and tough on the palate, with fresh, juicy acidity that's a bit scouring. Tastes much like milk chocolate and candied fruit.",Roble,84,,Northern Spain,Ribera del Duero,,Tempranillo,Protos
US,"This has ripe Sonoma flavors of green apples, pears and tropical fruits, along with balancing acids and a touch of honey-sweet oak. Overall, it achieves harmonious balance. Production was 3,690 cases. Worth a special search.",,90,9.0,California,Sonoma County,Sonoma,Chardonnay,Wheelhouse
US,"The fruit is front and center on this oak-free Chardonnay. It's enormously rich in apricots, tangerines, pineapples, pears and lemons, with brisk acidity and a tang of minerals.",Unoaked,88,39.0,California,Russian River Valley,Sonoma,Chardonnay,Williams Selyem
Spain,"A leathery, herbal aroma outmuscles the distant berry and cherry scents. It feels hard and high in acidity, with raspberry and snappy red-plum flavors. It's citrusy and crisp on the finish, with lasting tang.",,83,8.0,Central Spain,La Mancha,,Tempranillo,Finca Vieja
US,"A big wine, deep and dense, scented with violets, toast and vanilla. Vanilla dominates the palate, but there is good, concentrated fruit lurking right below, suggesting that this very young wine will come together well in the months ahead. Juicy, jammy and ripe, with a good peppery finish.",Reserve,89,32.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Dusted Valley
Spain,"Flat and loamy on the nose, and then slightly floral. There is not much going on here; the palate offers distant strawberry flavors accented by pickle, and the finish is thin, tangy and hints at tomato. A Europvin, Christopher Cannan selection, imported by multiple importers, including Michael Skurnik Wines.",Excelsus,81,23.0,Northern Spain,Rioja,,Tempranillo Blend,Viña Herminia
Portugal,"This wine is flavorful, with plenty of blackberry fruit, as well as a dense, tannic heart. The fruit's edges are smoothed by the wood aging, but it is still fruit that dominates, ripe, hearty and packed with acidity to finish.",Quinta do Cachão,88,10.0,Douro,,,Touriga Franca,Messias
New Zealand,"Despite a challenging season, Saint Clair's 2008 Block 16 turned out just fine, with dusty black cherries accented by earth and spice complexities. It's medium bodied, with silky tannins and a supple finish. Drink it over the next few years.",Pioneer Block 16 Awatere,90,27.0,Marlborough,,,Pinot Noir,Saint Clair
US,"A balanced wine, true to its varietal roots, that nicely melds the berry, pepper, cured meat and dried herbal flavors that you would hope to find in a Rhône-ish wine. The wine has sap and style; with juicy fruit and finishing acid that says Washington all the way.",,88,24.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Three Rivers
US,"Good, rich Syrah, dry and tannic, although the tannins are finely ground and easily negotiable now. Satisfies for deep blackberry, cherry, cocoa and oak flavors, with extra points for its upscale, fancy quality. But it's a little thin for aging. Drink now.",,87,22.0,California,Santa Ynez Valley,Central Coast,Syrah,Zaca Mesa
Italy,"This Pallagrello Nero-based wine opens with funky aromas of game, earth and overripe black fruit. The tight palate offers drying tannins and mature flavors of blackberry and prune layered with sweet oak, vanilla, mint and sweet and sour sauce.",Sabbie di Sopra il Bosco,87,70.0,Southern Italy,Terre del Volturno,,Red Blend,Nanni Copè
US,"A bit sharp on the nose, implying the high acid that is later evident in the mouth. Aromas of green bean, onion and cranberry lead to cran-/strawberry flavors with hints of oak and earth. Light-to-medium bodied and on the tart side.",Estate,84,22.0,New York,North Fork of Long Island,Long Island,Merlot,Jamesport
Portugal,"A fine balance between yellow fruit richness, with apricots and peaches, and a crisp, exquisite line of citrus. The wine is rich, while also fresh, a great food white wine.",Serrado Branco,89,7.0,Dão,,,Portuguese White,Quinta do Serrado
Portugal,"Wood-fermented, lees-stirred, superrich wine. It is complex, the acidity adding to the nectarine and pineapple flavors. With the wood element carefully judged, it does have power but never oversteps the mark. A real success, and worth aging.",Branco,91,44.0,Tejo,,,Viognier,Vale d'Algares
New Zealand,"A semi-dry bottling that's almost fat. Ripe peaches are center-stage, ushered in by a minty-herbal edge and out by gentle lime notes. Provides an easy introduction to the Kiwi style of Riesling—there's no intimidating austerity or need to age this wine; just pull the cork and pour.",Private Bin,85,14.0,Marlborough,,,Riesling,Villa Maria
Italy,"This Riserva Chianti Classico opens with earthy, gritty aromas of forest floor, wild mushroom and deep, dark berry fruit. It shows a layered, sophisticated side of Sangiovese with lingering spice and cola on the close.",Coltassala Riserva,90,56.0,Tuscany,Chianti Classico,,Sangiovese,Volpaia
France,"A bright, light and fruity wine that is ready to drink. It has flavors of currants, juicy orange as well as a mineral texture and a touch of bitter marmalade. Drink now.",Le P'tit Chenin,86,11.0,Loire Valley,Anjou,,Chenin Blanc,Château de la Roulerie
Germany,"Medium-gold in color, with a pronounced nose of ripe yellow peach and nectarine and hints of spice and minerality. Crisp, with juicy, sweet, ultraripe yellow fruit flavors following on the palate, but quite loose-knit texture. Simple easy-drinking.",Piesporter Goldtröpfchen Kabinett,88,23.0,Mosel-Saar-Ruwer,,,Riesling,Joh. Haart
US,"This Cabernet-Merlot blend is packed with blackberry and crème de cassis, with a firm minerality. With the weight of the middle palate and the long, spicy finish, it's especially attractive, although it's also quite tannic. The only difference between this Estate Monte Bello Cabernet and Ridge's Monte Bello Estate Cabernet ($150; note the difference in the placement of ""estate"") is that the winemaker selected lots from the vineyard that were considered more accessible, which in this case means more luscious. Despite its many charms, the wine should age for a long time.",Estate Monte Bello Vineyard,95,40.0,California,Santa Cruz Mountains,Central Coast,Cabernet Sauvignon,Ridge
New Zealand,"Plump and round, with some residual sugar a distinct possibility, this wine boasts honey and melon flavors, accented with just enough tomato-leaf herbaceousness to maintain its varietal character. Drink now.",,87,12.0,Marlborough,,,Sauvignon Blanc,Newhaven
US,"This delicious wine, made entirely from Cab Sauvignon grapes, displays clear varietal character and balance. The tart cherry fruit has been ripened appropriately, retaining some desirable herb and forest floor character. Further oak aging adds a bit more complexity. All in all, you get a sense that a talented hand is at the winemaking helm and getting the very most from these grapes.",,86,15.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Snoqualmie
France,"A beautiful Roussillon red blend comprised of 50% Syrah, 25% Grenache and 25% Carignan. Aromas of chocolate cherry truffles, black plum, blueberry and violet entice you immediately, and the bold, concentrated mouth doesn't disappoint either. Gripping tannins and a crushed velvet texture followed by a long, evolving finish makes this a guaranteed winner at an attractive price.",La Desirade,91,24.0,Languedoc-Roussillon,Côtes du Roussillon Villages,,Red Blend,Mas de Lavail
Australia,"A ripe style of Sauvignon Blanc, with bold melon and fig flavors that blend in hints of nectarine as well. Not a herbal, grassy style, but one that shows plenty of ripeness and weight yet finishes with some chalky, minerally notes. Drink now.",No. 19,88,20.0,New South Wales,Orange,,Sauvignon Blanc,Philip Shaw
US,"You might almost mistake this for a Grenache or Merlot, it's so dark in color, soft and heavy. It's not a bad wine, and actually quite tasty with its wealth of berry, cherry, currant and chocolate flavors. But it misses the keen, silky vibrancy a fine California Pinot Noir should possess.",Graham Family Vineyard,85,50.0,California,Green Valley,Sonoma,Pinot Noir,Loring Wine Company
US,"This could be Chardonnay, or any light white wine. Fruit flavors are apple and pear; there's lots of acidity. A simple, pleasant, everyday style.",LEHM,85,20.0,Washington,Chelan County,Washington Other,Pinot Gris,Vin du Lac
Italy,"This is a pretty Pinot Bianco from Alto Adige (the extreme north of Italy) with fragrant aromas of green melon, white flowers and peach. The wine doles out delicate flavors in the mouth and boasts good persistency and staying power.",,87,15.0,Northeastern Italy,Alto Adige,,Pinot Bianco,Tiefenbrunner
France,"Full, rich, quite heavy in style, this is only just brut, with its crushed strawberry flavor and low acidity. It works, as a fine wine for a red-fruit dessert, the balance remaining right up to the very soft aftertaste.",Blason Brut Rosé,87,80.0,Champagne,Champagne,,Champagne Blend,Perrier Jouët
Spain,"This Godello is light, fruity and offers nice lime and apple aromas. It's linear, minerally and has a true slate feel, then stony flavors of tangerine and ripe peach take over. A juicy, pure finish tops it off.",,90,19.0,Galicia,Ribeiro,,Godello,Terra do Castelo
France,"A wine that is rich, showing firm tannins, but also plenty of dark plum and berry fruits. Spice adds another element, as does a solid core of sweet juiciness. The finish focuses more on dry tannins.",Clos de Thorey Premier Cru,90,75.0,Burgundy,Nuits-St.-Georges,,Pinot Noir,Antonin Rodet
US,"Tough and gritty in tannins, with currant fruit flavors veering into raisins and heavy-handed oak. Not likely to mellow with age.",Lazy S Vineyard,83,40.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Esterlina
Italy,"This has the capacity to rev-up any meat-based meal thanks to its aromatic intensity and overall spiciness. Sweet and savory at the same time, it delivers black cherry, clove, smoked bacon, leather, cola and dried fruit aromas.",Gaso,89,29.0,Veneto,Valpolicella Classico Superiore Ripasso,,"Corvina, Rondinella, Molinara",San Rustico
South Africa,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.",The William,89,18.0,Coastal Region,,,Red Blend,Graham Beck
Argentina,"The bouquet initially yields iodine and ham aromas, but airing settles it down. Sweet and full of apple flavors in the mouth, while the finish veers dangerously close to cider-like. Struggles to make its mark.",Los Cardos,82,10.0,Mendoza Province,Mendoza,,Chardonnay,Doña Paula
France,"An impressively complex wine for one with only a village appellation. There is a definite minerality mixed with lime and other citrus flavors. A hint of wood spice, stone fruits, green plums and a fine concentration. Imported by Robert Kacher Imports. Editors' Choice.",,90,66.0,Burgundy,Chassagne-Montrachet,,Chardonnay,Xavier Monnot
US,"At first blush this reserve seems more oaky, more open and more overtly alcoholic than the just-released Leonetti 2008 Merlot and 2007 Cabernet Sauvignon. After many hours of breathing time it fills in with pretty plummy fruit, toast, caramel, whiffs of smoke, cedar and cigar box, and dry tannins.",Reserve,93,135.0,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Leonetti Cellar
Italy,"From the Predappio area of Romagna in central Italy, this Sangiovese offers rustic aromas of tar and licorice backed by black fruit and prune. There's a savory quality on the close with cured meat and tobacco.",Bartimeo,84,14.0,Central Italy,Romagna,,Sangiovese,Stefano Berti
US,"This is straightforward, crisp and refreshing, with no fancy frills. The fruit and the acid complement each other, lifting the pleasant apple and melon flavors. Made entirely in stainless steel, it carries no oak influence.",,88,15.0,Washington,Washington,Washington Other,Chardonnay,Boomtown
Portugal,"Crisp, bright, strawberry-flavored wine that has some weight and spice to it. It shows ripe fruit as well as vivid acidity, freshly balanced with red currant aftertaste.",,86,18.0,Lisboa,,,Rosé,Quinta de Sant'Ana
Australia,"A venture into the deep end of pricing perhaps, but the proof is in the bottle. From vines planted in 1964, this is a rich, full-bodied and creamy-textured wine, with complex notes of smoke, vanilla, plum and roasted meat. Approachable now because of its lushness, it should drink well for at least the next several years.",Warboys Vineyard,93,65.0,South Australia,McLaren Vale,,Grenache,Angove
Chile,"Herbal berry aromas are solid enough but less than impressive, while the palate is soft, full, round and regular. Full across the palate, with mildly green cassis and berry flavors, then soft, chunky and slightly herbal on the finish.",Barrel Selection Reserve,86,13.0,Lontué Valley,,,Cabernet Sauvignon,Korta
Italy,"Opens with an appealing bouquet of dark cherry and chocolate, cedar and leather accents. In the mouth simple berry flavors sporting wood and leather accents take over. Finishes with tart cherry notes and moderate length.",,84,11.0,Tuscany,Chianti Colli Aretini,,Sangiovese,Vasari
US,"One of seven limited-production, single-vineyard Cabs this vintage by Beringer, a dense, concentrated mountain wine of considerable strength. The cassis, plum and herb flavors are just beginning to emerge from a tannic sleep, although the wine remains young and quite ageworthy.",Marston Vineyard,91,80.0,California,Napa,,Cabernet Sauvignon,Beringer
France,"Hints of fresh mint leaves highlight the brooding black currant and dark fruit aromas. The balance of Cabernet and Merlot has been successfully achieved, as the wine is beautifully structured with a firm backbone of ample tannins and a rich, supple mouthfeel.",Kosher,86,32.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Barons Edmund Benjamin de Rothschild
Chile,"Briary berry aromas and a bit of leafy minerality open it, followed by saturated cassis and black cherry flavors mixed with spice and smoke. It trails off quickly on the finish, with lingering spice, chocolate and more dry leafy qualities.",Reserva,86,12.0,Maipo Valley,,,Carmenère,Morandé
US,"From the Napa side of the appellation comes this dry, young Pinot Noir. The acids, tannins and new oak show now, and also the intensely ripe cherry fruit, with all the parts jockeying for position. Needs time to knit together. Best after 2007, and through 2011 before it loses fruit.",Beckstoffer Las Amigas Vineyard,90,60.0,California,Carneros,Napa-Sonoma,Pinot Noir,Acacia
Italy,"Aromas of pear, pressed white flower, exotic fruit and hints of toasted oak lead the nose. The round palate offers nectarine zest, apricot, dried herb and vanilla alongside soft but refreshing acidity.",Molamatta,89,23.0,Northeastern Italy,Collio,,White Blend,Marco Felluga
US,"So superripe, soft and sweet, it's more like a melted dessert than a dry table wine. Think of vanilla ice cream, warmed up to room temperature, then mixed with cherry jam and cassis liqueur.",,84,24.0,California,Napa Valley,Napa,Merlot,White Oak
New Zealand,"Marked by intense petrol overtones and flavors concentrated to almost the point of salinity, this makes a bold statement for Nelson as a Riesling-growing region. The sensation of briny minerality lingers on the finish.",Classic,88,17.0,Nelson,,,Riesling,Waimea
